,redi_full,redi_smallslope,redi_full_M1,markov-1
10,1.1087206322329363e-06,1.1087455156021063e-06,1.4172349915530976e-10,3.6732737565568597e-09
20,2.2074968984907014e-06,2.207546388205185e-06,2.621857518151331e-10,7.675677642237134e-09
40,4.343449468817186e-06,4.343550737847064e-06,7.692326804346907e-10,1.6639249009006135e-08
80,8.631053445785035e-06,8.631245828333525e-06,2.709256156370034e-09,4.0041309362003734e-08
160,1.735076781912391e-05,1.7351169174779475e-05,1.0598079642620215e-08,1.0636086669581059e-07
360,3.996518075025419e-05,3.9966096494956424e-05,5.4055293950305574e-08,3.903176311331872e-07
720,7.791307187377294e-05,7.791490026684175e-05,2.1671345086242706e-07,1.316133251494657e-06
1440,0.00015570212402090338,0.0001557058033464457,8.524679615634369e-07,4.080410544313208e-06
