Computing diffusivity after 180 days of advection 
fine_advection, 0.0004204509930741575, 0.0002130522120629317, 0.0010655693961792118, 0.00019260830001189462 
coarsened_advection, 0.0003799480602404779, 0.00019422958670583162, 0.0009315556786039768, 0.00017074252522474218 
coarsened_EM_Le_Sommer_C0.3, 0.0008601085776760401, 0.0005798134784053575, 0.001777259988588388, 0.0006010789953351211 
coarsened_EM_Le_Sommer_C1, 0.0016140474054354916, 0.0012315054038360607, 0.002559790173692195, 0.0015391701990944073 
coarsened_EM_Le_Sommer_C3, 0.005033770678711756, 0.003939003965822463, 0.005293422227771238, 0.006170722722125893 
coarsened_EM_Redi_smallslope_K1500, 0.0009204090425576539, 0.0006838399631415831, 0.0014118891521728925, 0.0008997345624442612 
coarsened_EM_Redi_smallslope_K5000, 0.0031107693014045066, 0.0024276687694869304, 0.0024247880933566607, 0.004257354934743493 
coarsened_EM_Redi_smallslope_K15000, 0.013512051736911248, 0.012228500051313505, 0.005171284915748312, 0.01833274139280902 
coarsened_M1_Redi_smallslope_K15000, 0.013438880533886744, 0.012100777193434048, 0.005065010432580571, 0.01864756471697684 
coarsened_Markov1_K1500, 0.0006197310281907481, 0.0004450337024747051, 0.0012753275384500893, 0.00039525429451289806 
coarsened_Markov1_K5000, 0.0005603649604729047, 0.0005559023485803337, 0.0009199178818804094, 0.0003609391490081814 
coarsened_Markov1_K15000, 0.0002075604813788631, 0.00019672893447102833, 0.0003663697695102241, 0.0001479636983118586 
coarse_advection, 2.5783392301386567e-05, 2.3642256121916588e-05, 1.4798515494714565e-05, 3.691507473266952e-05 
coarse_EM_Le_Sommer_C0.3, 0.00036196695459205424, 0.00023505347450065937, 0.0006101015805246749, 0.0003208403650005432 
coarse_EM_Le_Sommer_C1, 0.0005175550709057841, 0.0003998021710068761, 0.0008420563061157741, 0.000417580688390716 
coarse_EM_Le_Sommer_C3, 0.0011318001089279052, 0.0008798078326111765, 0.0020821176450903697, 0.0007685710449594436 
coarse_EM_Redi_smallslope_K1500, 0.0006079944009376718, 0.00024699154705757763, 0.0017579386868782063, 0.00018635923580645806 
coarse_EM_Redi_smallslope_K5000, 0.0018042669440439638, 0.0007372846479408138, 0.005783606066102108, 0.0003821172056351605 
coarse_EM_Redi_smallslope_K15000, 0.003647486691286124, 0.0024871655646656566, 0.007733393148946916, 0.002617349006515204 
coarse_Markov1_K1500, 0.0002609613775779018, 0.00012880826085160928, 0.0005666295376169747, 0.00018500435908335374 
coarse_Markov1_K5000, 0.00031733709137542226, 0.00010714482108330226, 0.0009421210461273175, 0.00013102725973846148 
coarse_Markov1_K15000, 9.959314449336863e-05, 1.541049109464683e-05, 0.00038509736408221554, 1.9603058940443714e-05 
